id,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
4812,1.00,1.00,35.00,3.40,-1.31,-1.38,1.00,4.00,1.00,1,4,0
4813,10.00,10.00,38.00,3.90,1.93,2.13,1.00,4.00,1.00,1,3,1
4814,7.00,8.00,42.00,3.20,0.58,0.74,1.00,4.00,1.00,1,4,1
4815,6.00,5.00,35.00,3.40,0.30,-0.07,1.00,3.00,1.00,1,4,1
4816,4.00,3.00,36.50,2.20,-0.27,-0.82,2.00,4.00,0.00,1,3,1
4817,6.00,7.00,44.00,3.70,0.16,0.35,1.00,4.00,1.00,1,6,1
4818,8.00,8.00,36.00,3.20,0.85,0.66,1.00,4.00,1.00,1,3,1
4819,7.00,5.00,47.00,3.50,0.39,-0.05,1.00,4.00,1.00,1,5,1
4820,9.00,10.00,39.50,3.30,1.25,1.51,1.00,4.00,1.00,1,4,1
4821,2.00,2.00,43.00,2.70,-1.02,-1.31,1.00,3.00,1.00,1,4,1
4822,6.00,4.00,37.00,3.30,0.23,-0.29,1.00,1.00,0.00,1,3,1
4823,8.00,7.00,38.00,3.60,0.81,0.55,1.00,3.00,0.00,1,4,1
4824,2.00,2.00,27.00,3.10,-0.75,-1.06,1.00,1.00,1.00,0,4,0
4825,9.00,9.00,34.00,3.50,1.15,0.89,1.00,3.00,1.00,1,5,1
4826,9.00,9.00,40.00,3.50,1.29,0.94,1.00,3.00,0.00,1,4,1
4827,1.00,3.00,27.00,3.30,-1.38,-0.62,1.00,3.00,1.00,1,1,1
4828,6.00,7.00,35.00,2.70,0.17,0.49,1.00,4.00,1.00,1,2,1
4829,1.00,2.00,28.00,3.10,-1.24,-0.97,1.00,3.00,0.00,0,5,1
4830,10.00,7.00,39.00,3.10,1.33,0.55,1.00,3.00,1.00,1,3,1
4831,5.00,4.00,40.00,3.10,-0.08,-0.41,1.00,3.00,0.00,1,3,1
4832,8.00,10.00,42.00,1.70,0.57,1.47,2.00,4.00,0.00,1,3,1
4833,10.00,10.00,40.00,3.50,1.34,1.41,2.00,2.00,1.00,1,3,1
4834,5.00,4.00,30.00,2.90,-0.13,-0.47,1.00,2.00,0.00,0,3,1
4835,10.00,10.00,39.00,3.70,1.95,2.23,1.00,5.00,0.00,1,6,1
4836,9.00,9.00,37.00,3.60,1.27,1.29,1.00,3.00,0.00,1,3,1
4837,4.00,5.00,39.00,3.10,-0.18,0.00,1.00,3.00,0.00,1,4,1
4838,8.00,8.00,37.00,4.00,0.77,0.58,1.00,3.00,0.00,1,4,1
4839,2.00,4.00,41.00,3.50,-1.14,-0.47,2.00,4.00,0.00,1,4,1
4840,6.00,6.00,30.00,2.90,0.18,0.06,1.00,3.00,1.00,1,3,1
4841,4.00,6.00,40.00,2.40,-0.23,0.03,1.00,4.00,0.00,1,3,1
4842,10.00,10.00,35.50,2.80,1.49,1.59,1.00,4.00,0.00,1,3,1
4843,9.00,8.00,45.00,3.60,1.04,0.72,1.00,4.00,0.00,1,5,1
4844,4.00,1.00,37.00,3.30,-0.43,-1.42,1.00,4.00,1.00,1,6,1
4845,2.00,1.00,34.00,2.80,-0.89,-1.29,1.00,3.00,0.00,1,2,1
4846,3.00,2.00,36.00,2.20,-0.55,-1.05,1.00,3.00,0.00,0,1,0
4847,10.00,10.00,45.00,2.80,1.42,1.56,1.00,1.00,1.00,1,3,1
4848,3.00,6.00,38.00,3.60,-0.64,0.06,1.00,4.00,0.00,1,4,1
4849,4.00,3.00,38.00,3.50,-0.22,-0.63,1.00,4.00,0.00,1,3,1
4850,8.00,8.00,37.00,2.80,0.80,0.84,1.00,3.00,0.00,1,5,1
4851,9.00,9.00,36.00,4.00,1.01,1.11,1.00,3.00,0.00,1,3,1
4852,5.00,7.00,42.00,3.40,-0.11,0.55,1.00,3.00,0.00,1,4,1
4853,2.00,2.00,32.00,3.70,-0.77,-0.96,1.00,3.00,1.00,1,4,1
4854,3.00,5.00,35.00,3.60,-0.49,-0.15,1.00,4.00,1.00,1,4,1
4855,4.00,7.00,42.00,3.20,-0.24,0.27,1.00,4.00,1.00,1,5,1
4856,5.00,3.00,30.00,3.30,-0.04,-0.76,1.00,4.00,0.00,1,3,1
4857,9.00,8.00,40.00,2.40,1.07,0.81,1.00,3.00,0.00,1,3,1
4858,9.00,8.00,46.00,3.30,1.04,0.75,1.00,3.00,0.00,1,5,1
4859,1.00,1.00,32.00,3.40,-1.11,-1.36,1.00,4.00,1.00,1,3,1
4860,8.00,9.00,45.00,3.70,0.60,0.90,1.00,4.00,0.00,1,5,1
4861,3.00,4.00,46.00,3.30,-0.51,-0.26,1.00,3.00,0.00,1,5,1
4862,1.00,2.00,26.00,3.50,-1.53,-1.08,1.00,3.00,0.00,0,3,1
4863,6.00,8.00,33.00,3.20,0.08,0.76,1.00,4.00,1.00,1,3,1
4864,9.00,5.00,41.00,2.50,0.90,-0.07,1.00,4.00,1.00,1,3,1
4865,9.00,8.00,46.00,3.70,1.23,0.56,1.00,3.00,0.00,1,6,1
4866,6.00,7.00,39.00,3.30,0.18,0.40,1.00,4.00,1.00,1,5,1
4867,4.00,6.00,44.00,3.80,-0.32,0.18,1.00,3.00,1.00,1,5,1
4868,10.00,10.00,39.00,3.00,1.39,1.35,2.00,2.00,1.00,1,3,1
4869,8.00,8.00,35.00,3.50,0.76,0.78,1.00,4.00,0.00,1,3,1
4870,3.00,2.00,36.50,2.80,-0.66,-0.93,1.00,2.00,0.00,1,3,1
4871,10.00,10.00,46.00,3.30,1.36,1.34,1.00,3.00,1.00,1,4,1
4872,6.00,5.00,33.00,3.50,0.14,-0.08,1.00,4.00,0.00,1,3,1
4873,6.00,4.00,41.00,3.00,0.27,-0.52,1.00,3.00,1.00,1,3,0
4874,7.00,8.00,37.00,3.00,0.40,0.83,1.00,5.00,1.00,1,3,1
4875,2.00,3.00,32.00,3.50,-0.86,-0.65,1.00,4.00,1.00,1,3,1
4876,5.00,3.00,34.00,3.10,-0.10,-0.59,1.00,3.00,1.00,1,3,1
4877,5.00,3.00,33.00,3.20,-0.18,-0.71,2.00,3.00,0.00,1,5,0
4878,10.00,10.00,38.00,3.20,1.49,1.70,2.00,2.00,0.00,1,3,1
4879,2.00,2.00,41.00,3.60,-1.02,-1.05,2.00,3.00,0.00,1,4,1
4880,6.00,4.00,33.00,2.70,0.30,-0.44,1.00,4.00,0.00,1,3,1
4881,8.00,8.00,33.00,3.70,0.58,0.71,1.00,4.00,1.00,1,2,1
4882,10.00,10.00,35.00,3.90,1.37,1.37,1.00,4.00,1.00,1,4,1
4883,9.00,8.00,42.00,2.80,1.21,0.83,1.00,4.00,0.00,1,4,1
4884,5.00,3.00,33.00,3.60,-0.03,-0.78,2.00,4.00,0.00,1,3,1
4885,7.00,2.00,34.00,2.10,0.47,-0.95,1.00,4.00,1.00,1,3,1
4886,5.00,5.00,40.00,3.40,0.05,-0.08,1.00,3.00,1.00,1,4,1
4887,2.00,6.00,40.00,3.00,-0.79,0.21,2.00,3.00,1.00,1,5,1
4888,7.00,6.00,36.00,3.70,0.43,0.13,1.00,4.00,1.00,1,4,1
4889,3.00,2.00,36.00,3.20,-0.64,-0.99,1.00,4.00,0.00,1,3,1
4890,9.00,10.00,36.50,3.70,1.38,1.73,1.00,3.00,1.00,1,6,1
4891,9.00,10.00,37.00,3.40,0.94,1.60,1.00,4.00,1.00,1,3,1
4892,1.00,1.00,36.00,3.20,-1.21,-1.34,1.00,4.00,0.00,1,4,1
4893,3.00,3.00,34.00,2.80,-0.58,-0.91,1.00,3.00,1.00,1,2,1
4894,7.00,7.00,46.00,3.40,0.60,0.28,1.00,3.00,1.00,1,6,1
4895,9.00,8.00,39.00,3.00,0.93,0.81,1.00,3.00,1.00,1,5,1
4896,6.00,4.00,32.70,3.50,0.28,-0.32,1.00,3.00,1.00,1,3,1
4897,8.00,7.00,34.00,3.00,0.80,0.34,1.00,4.00,1.00,1,3,1
4898,8.00,9.00,37.00,3.80,0.84,0.88,1.00,2.00,0.00,1,3,1
4899,7.00,8.00,39.00,3.00,0.49,0.61,1.00,3.00,0.00,1,4,1
4900,6.00,6.00,30.50,3.10,0.22,0.11,1.00,3.00,0.00,1,2,1
4901,5.00,4.00,37.00,2.60,0.05,-0.49,1.00,2.00,0.00,1,3,1
4902,2.00,2.00,48.00,3.80,-1.07,-1.06,1.00,4.00,0.00,1,6,1
4903,4.00,5.00,46.00,3.70,-0.32,-0.10,1.00,5.00,1.00,1,5,1
4904,3.00,3.00,44.00,3.50,-0.67,-0.69,1.00,4.00,1.00,1,6,1
4905,4.00,4.00,37.00,3.50,-0.24,-0.55,1.00,4.00,0.00,1,2,1
4906,7.00,8.00,32.00,3.70,0.61,0.66,1.00,2.00,0.00,1,4,1
4907,6.00,7.00,40.00,3.20,0.13,0.55,1.00,4.00,0.00,1,4,1
4908,3.00,3.00,43.00,3.00,-0.55,-0.61,1.00,3.00,0.00,1,5,1
4909,7.00,9.00,42.00,3.10,0.46,1.05,1.00,4.00,0.00,1,4,1
4910,7.00,9.00,33.00,3.30,0.55,1.06,1.00,3.00,1.00,1,3,1
4911,8.00,6.00,42.00,3.00,0.57,0.18,1.00,3.00,1.00,1,5,1
4912,9.00,8.00,33.00,3.90,1.12,0.69,1.00,4.00,1.00,1,3,1
4913,5.00,6.00,42.00,2.90,0.03,0.08,1.00,4.00,0.00,1,4,1
4914,5.00,7.00,33.00,2.80,-0.07,0.37,1.00,4.00,1.00,1,3,1
4915,1.00,5.00,33.00,3.20,-1.50,-0.24,1.00,3.00,0.00,1,4,1
4916,7.00,9.00,47.00,3.60,0.39,0.90,1.00,4.00,0.00,1,4,1
4917,7.00,5.00,47.00,3.80,0.50,-0.04,1.00,4.00,1.00,1,6,1
4918,9.00,10.00,37.00,3.40,1.22,1.38,1.00,3.00,0.00,1,4,1
4919,9.00,8.00,32.00,3.00,1.22,0.71,1.00,4.00,1.00,0,1,1
4920,2.00,1.00,32.50,2.80,-0.94,-1.40,2.00,3.00,0.00,1,2,1
4921,10.00,8.00,44.00,2.40,1.65,0.64,1.00,4.00,1.00,1,6,1
4922,3.00,1.00,31.00,3.20,-0.66,-1.36,1.00,4.00,1.00,1,3,1
4923,1.00,2.00,44.00,3.70,-1.37,-1.02,1.00,3.00,0.00,1,5,1
4924,5.00,4.00,33.00,2.80,-0.10,-0.47,1.00,3.00,1.00,1,3,1
4925,8.00,9.00,36.00,2.70,0.81,0.95,1.00,4.00,0.00,1,3,1
4926,7.00,7.00,34.00,2.80,0.52,0.40,1.00,3.00,1.00,1,3,1
4927,10.00,9.00,36.00,3.40,1.56,1.27,1.00,3.00,1.00,1,2,1
4928,2.00,2.00,31.00,3.60,-0.80,-1.15,1.00,3.00,0.00,1,4,1
4929,3.00,4.00,30.00,3.10,-0.60,-0.43,1.00,3.00,1.00,1,3,1
4930,5.00,3.00,34.00,3.10,-0.17,-0.66,1.00,4.00,0.00,1,3,0
4931,7.00,9.00,29.00,3.40,0.55,1.18,1.00,4.00,1.00,1,2,1
4932,4.00,4.00,39.00,3.60,-0.40,-0.46,1.00,2.00,1.00,1,4,1
4933,3.00,4.00,38.00,2.80,-0.58,-0.52,2.00,4.00,0.00,1,4,1
4934,8.00,9.00,38.00,2.80,0.77,0.93,1.00,4.00,1.00,1,4,1
4935,5.00,5.00,33.00,2.50,-0.03,-0.15,1.00,4.00,0.00,0,4,1
4936,8.00,8.00,35.00,3.60,0.68,0.74,1.00,3.00,0.00,1,4,1
4937,5.00,4.00,37.00,3.50,-0.20,-0.35,1.00,4.00,0.00,1,5,1
4938,7.00,3.00,41.00,2.80,0.36,-0.52,1.00,4.00,1.00,1,6,1
4939,1.00,2.00,33.00,3.20,-1.24,-0.88,1.00,4.00,1.00,0,5,1
4940,7.00,9.00,42.00,4.00,0.62,1.11,1.00,4.00,0.00,1,6,1
4941,3.00,4.00,24.30,3.60,-0.69,-0.35,1.00,3.00,0.00,1,4,1
4942,1.00,2.00,27.00,3.20,-1.51,-1.20,1.00,4.00,1.00,0,3,0
4943,3.00,5.00,34.00,3.80,-0.60,-0.06,1.00,3.00,0.00,1,4,1
4944,2.00,2.00,22.50,2.70,-0.78,-1.25,2.00,3.00,0.00,0,4,0
4945,6.00,4.00,35.00,3.30,0.14,-0.39,1.00,2.00,0.00,1,5,1
4946,3.00,5.00,32.50,3.30,-0.56,-0.19,1.00,3.00,0.00,1,3,0
4947,3.00,3.00,38.00,3.30,-0.71,-0.57,1.00,4.00,0.00,1,4,1
4948,10.00,9.00,38.00,3.60,1.36,1.22,1.00,4.00,0.00,1,3,1
4949,1.00,1.00,33.50,3.30,-1.89,-2.14,1.00,3.00,0.00,0,5,0
4950,3.00,8.00,38.00,3.60,-0.48,0.57,1.00,3.00,0.00,1,3,1
4951,1.00,1.00,32.00,2.80,-1.71,-2.21,1.00,2.00,1.00,0,4,0
4952,6.00,7.00,32.50,3.70,0.23,0.44,1.00,3.00,1.00,1,5,1
4953,9.00,8.00,44.00,3.20,1.08,0.69,1.00,3.00,1.00,1,5,1
4954,5.00,8.00,41.00,3.40,0.04,0.79,1.00,4.00,1.00,1,5,1
4955,3.00,4.00,41.00,3.40,-0.54,-0.52,1.00,3.00,0.00,1,4,1
4956,3.00,4.00,38.00,2.50,-0.44,-0.26,2.00,3.00,1.00,1,4,1
4957,3.00,3.00,40.00,3.60,-0.48,-0.78,1.00,3.00,0.00,1,3,1
4958,7.00,4.00,36.50,3.60,0.39,-0.26,1.00,4.00,0.00,1,6,1
4959,4.00,2.00,36.00,3.00,-0.41,-0.96,1.00,4.00,0.00,1,3,1
4960,4.00,6.00,39.00,3.00,-0.22,0.05,1.00,4.00,1.00,1,3,1
4961,3.00,2.00,37.00,3.00,-0.54,-0.93,1.00,3.00,1.00,1,3,1
4962,3.00,2.00,37.00,3.30,-0.48,-0.95,1.00,4.00,0.00,1,3,1
4963,5.00,10.00,33.00,3.50,0.05,1.38,1.00,4.00,1.00,1,5,1
4964,2.00,2.00,40.00,3.00,-1.10,-0.91,1.00,3.00,1.00,1,4,1
4965,8.00,7.00,33.00,3.00,0.65,0.32,1.00,3.00,1.00,1,1,1
4966,8.00,8.00,36.00,3.60,0.68,0.62,1.00,3.00,1.00,1,4,1
4967,10.00,10.00,43.00,3.40,1.77,1.83,1.00,3.00,1.00,1,5,1
4968,5.00,4.00,37.00,2.90,-0.18,-0.51,2.00,4.00,0.00,1,5,1
4969,2.00,3.00,27.00,3.30,-0.78,-0.56,1.00,2.00,0.00,1,4,1
4970,3.00,2.00,43.00,2.90,-0.55,-0.88,1.00,4.00,1.00,1,5,1
4971,8.00,7.00,26.00,3.40,0.75,0.50,1.00,3.00,1.00,1,3,1
4972,7.00,6.00,39.00,3.70,0.43,0.24,1.00,3.00,1.00,1,6,1
4973,2.00,2.00,36.00,2.60,-1.07,-0.97,1.00,4.00,0.00,1,5,0
4974,6.00,7.00,36.00,3.40,0.11,0.48,1.00,4.00,1.00,1,4,1
4975,10.00,10.00,43.00,3.40,2.88,1.69,2.00,3.00,1.00,1,5,1
4976,4.00,6.00,36.00,3.30,-0.07,0.19,1.00,4.00,0.00,1,1,0
4977,6.00,6.00,41.00,3.70,0.13,0.16,1.00,3.00,1.00,1,4,1
4978,3.00,6.00,33.00,3.70,-0.55,0.01,1.00,3.00,0.00,0,1,1
4979,4.00,3.00,37.00,3.90,-0.39,-0.85,1.00,3.00,0.00,1,5,1
4980,8.00,8.00,34.00,3.50,0.84,0.68,1.00,4.00,0.00,1,3,1
4981,7.00,4.00,35.00,2.70,0.43,-0.39,1.00,3.00,0.00,1,3,1
4982,3.00,3.00,29.70,3.70,-0.47,-0.59,1.00,2.00,0.00,1,3,1
4983,9.00,7.00,35.00,3.40,1.19,0.54,1.00,2.00,0.00,1,3,1
4984,10.00,9.00,41.00,2.80,1.68,0.97,1.00,4.00,1.00,1,4,1
4985,3.00,3.00,42.00,3.50,-0.71,-0.74,1.00,3.00,1.00,1,4,1
4986,4.00,4.00,34.00,2.30,-0.17,-0.50,1.00,2.00,1.00,1,3,1
4987,5.00,5.00,38.00,3.50,-0.20,-0.12,1.00,4.00,1.00,1,5,1
4988,7.00,6.00,37.00,3.00,0.36,0.19,1.00,4.00,0.00,1,3,1
4989,3.00,5.00,36.00,3.80,-0.44,-0.03,1.00,2.00,1.00,1,4,1
4990,10.00,10.00,40.00,2.80,1.49,1.42,1.00,4.00,1.00,1,3,1
4991,1.00,3.00,33.00,3.80,-1.18,-0.79,1.00,3.00,0.00,1,5,1
4992,1.00,4.00,20.00,3.00,-1.14,-0.44,1.00,3.00,1.00,1,4,1
4993,6.00,9.00,39.00,3.80,0.14,0.94,1.00,5.00,1.00,1,4,0
4994,8.00,8.00,44.00,3.70,0.80,0.72,1.00,4.00,0.00,1,5,1
4995,6.00,7.00,35.00,3.70,0.17,0.54,1.00,5.00,1.00,1,6,1
4996,2.00,2.00,41.00,3.20,-0.74,-0.96,1.00,4.00,0.00,1,4,0
4997,1.00,1.00,25.00,3.00,-1.48,-1.84,1.00,1.00,1.00,1,2,0
4998,3.00,4.00,34.50,2.40,-0.61,-0.58,1.00,3.00,1.00,1,2,1
4999,6.00,6.00,39.00,3.00,0.07,0.04,1.00,4.00,0.00,1,3,1
5000,4.00,4.00,38.00,3.40,-0.18,-0.38,1.00,4.00,1.00,1,4,1
5001,7.00,8.00,35.00,3.50,0.48,0.81,1.00,4.00,0.00,1,3,1
5002,9.00,7.00,33.00,3.30,0.89,0.47,1.00,3.00,0.00,1,3,1
5003,8.00,8.00,47.00,2.80,0.83,0.61,1.00,3.00,1.00,1,4,1
5004,4.00,3.00,24.00,2.50,-0.30,-0.71,1.00,4.00,1.00,1,2,0
5005,4.00,6.00,39.00,3.50,-0.24,0.22,1.00,2.00,0.00,1,4,1
5006,7.00,7.00,41.00,3.00,0.49,0.38,1.00,4.00,0.00,1,5,1
5007,7.00,8.00,42.00,3.10,0.50,0.61,1.00,4.00,0.00,1,5,1
5008,2.00,3.00,33.50,3.60,-0.73,-0.78,1.00,4.00,1.00,1,3,1
5009,3.00,3.00,34.00,3.70,-0.45,-0.73,1.00,4.00,0.00,1,3,1
5010,1.00,3.00,29.00,3.20,-1.37,-0.60,2.00,4.00,0.00,1,3,1
5011,3.00,1.00,43.00,2.90,-0.69,-1.56,1.00,4.00,0.00,1,4,0
5012,1.00,2.00,22.70,3.60,-1.28,-1.28,1.00,3.00,1.00,1,3,0
5013,8.00,9.00,41.00,3.50,0.75,1.27,1.00,5.00,0.00,1,5,1
5014,10.00,9.00,33.00,3.30,1.31,0.95,1.00,3.00,0.00,1,2,1
5015,8.00,7.00,37.00,3.60,0.71,0.40,1.00,4.00,1.00,1,4,1
5016,4.00,4.00,41.00,3.50,-0.20,-0.29,1.00,3.00,0.00,1,4,1
5017,10.00,9.00,37.00,3.60,1.85,1.25,1.00,4.00,1.00,1,4,1
5018,10.00,10.00,39.00,3.30,1.79,1.60,1.00,3.00,1.00,1,4,1
5019,8.00,9.00,36.00,3.00,0.61,1.30,1.00,5.00,1.00,1,3,1
5020,7.00,3.00,34.00,2.90,0.37,-0.77,1.00,3.00,1.00,1,3,1
5021,2.00,2.00,35.00,2.80,-0.72,-1.15,1.00,5.00,1.00,1,3,0
5022,8.00,9.00,42.00,3.50,0.85,0.92,1.00,3.00,1.00,1,4,1
5023,4.00,5.00,34.00,2.80,-0.35,-0.17,1.00,4.00,0.00,1,2,1
5024,5.00,6.00,42.50,3.20,-0.12,0.12,1.00,4.00,1.00,1,4,1
5025,2.00,2.00,35.00,2.90,-0.73,-1.01,1.00,4.00,1.00,1,2,0
5026,4.00,4.00,24.00,3.10,-0.39,-0.49,1.00,4.00,0.00,1,3,1
5027,2.00,2.00,36.00,3.10,-0.88,-0.89,1.00,4.00,0.00,1,3,1
5028,9.00,9.00,35.00,2.80,1.12,1.04,1.00,4.00,1.00,1,3,1
5029,9.00,9.00,36.00,3.70,1.10,1.17,1.00,3.00,0.00,1,4,1
5030,8.00,8.00,44.00,3.70,0.86,0.84,1.00,2.00,0.00,1,5,1
5031,4.00,4.00,39.00,2.70,-0.22,-0.28,1.00,2.00,1.00,0,5,1
5032,8.00,7.00,35.00,3.90,0.83,0.52,1.00,4.00,1.00,1,4,1
5033,9.00,9.00,33.00,3.60,1.11,1.15,1.00,4.00,0.00,1,3,1
5034,7.00,4.00,40.00,2.70,0.47,-0.38,2.00,4.00,0.00,1,4,1
5035,5.00,2.00,38.50,2.80,-0.03,-1.04,1.00,4.00,1.00,1,3,0
5036,2.00,2.00,41.00,3.80,-0.98,-1.12,1.00,4.00,1.00,1,4,1
5037,9.00,8.00,40.00,4.00,0.91,0.62,1.00,3.00,1.00,1,4,1
5038,5.00,3.00,42.00,2.60,-0.10,-0.58,1.00,4.00,1.00,1,5,1
5039,2.00,2.00,38.00,3.40,-1.04,-0.98,1.00,3.00,0.00,1,4,1
5040,3.00,3.00,29.00,3.90,-0.44,-0.67,1.00,4.00,0.00,1,1,0
5041,8.00,9.00,37.00,3.70,0.69,1.09,1.00,3.00,1.00,1,4,1
5042,10.00,9.00,36.00,3.00,1.27,1.12,1.00,2.00,1.00,1,2,1
5043,3.00,2.00,42.00,3.80,-0.69,-1.24,1.00,4.00,1.00,1,4,1
5044,1.00,1.00,23.00,3.00,-1.50,-2.01,1.00,3.00,0.00,0,4,1
5045,4.00,5.00,47.00,3.90,-0.38,0.02,1.00,5.00,1.00,1,5,1
5046,2.00,4.00,37.00,3.40,-0.89,-0.48,1.00,3.00,1.00,1,5,1
5047,5.00,5.00,40.00,3.60,-0.10,-0.23,1.00,4.00,0.00,1,4,1
5048,8.00,7.00,25.50,2.70,0.73,0.50,1.00,2.00,1.00,1,3,1
5049,5.00,6.00,36.00,3.90,0.09,0.10,1.00,4.00,0.00,1,4,1
5050,3.00,5.00,35.00,3.40,-0.47,-0.29,1.00,4.00,1.00,1,2,0
5051,3.00,4.00,36.00,3.80,-0.67,-0.28,1.00,2.00,0.00,1,4,1
5052,8.00,8.00,42.00,3.50,0.92,0.67,1.00,5.00,1.00,1,6,1
5053,5.00,5.00,46.00,3.60,-0.13,-0.16,1.00,4.00,0.00,1,5,1
5054,9.00,9.00,41.00,3.10,0.87,1.05,1.00,4.00,1.00,1,3,1
5055,5.00,5.00,34.00,2.40,-0.05,-0.23,1.00,4.00,0.00,1,3,1
5056,7.00,5.00,27.00,3.90,0.39,-0.14,1.00,3.00,0.00,0,2,1
5057,1.00,2.00,39.50,2.50,-1.43,-1.18,2.00,3.00,1.00,1,4,1
5058,9.00,9.00,42.00,3.20,0.99,1.12,1.00,3.00,0.00,1,3,1
5059,3.00,4.00,42.00,3.60,-0.43,-0.34,1.00,4.00,1.00,1,4,1
5060,4.00,3.00,43.00,2.70,-0.18,-0.78,1.00,3.00,1.00,1,4,1
5061,8.00,7.00,34.00,3.70,0.60,0.49,1.00,4.00,1.00,1,3,0
5062,9.00,9.00,44.00,3.80,1.08,1.16,1.00,2.00,0.00,1,6,1
5063,9.00,9.00,34.00,2.90,1.25,1.25,1.00,3.00,1.00,1,3,1
5064,10.00,9.00,46.00,3.70,1.86,0.98,1.00,4.00,0.00,1,5,1
5065,3.00,4.00,35.00,2.20,-0.42,-0.55,1.00,4.00,1.00,1,1,1
5066,7.00,7.00,24.00,3.00,0.46,0.35,1.00,4.00,1.00,1,5,1
5067,2.00,2.00,30.70,3.60,-0.97,-0.94,1.00,2.00,0.00,1,3,1
5068,2.00,4.00,42.00,3.40,-0.88,-0.49,1.00,2.00,1.00,1,4,1
5069,8.00,9.00,47.00,3.30,0.83,0.87,1.00,2.00,1.00,1,5,1
5070,4.00,1.00,38.00,3.20,-0.30,-1.52,2.00,4.00,0.00,1,3,1
5071,9.00,10.00,40.00,2.80,1.27,1.42,1.00,4.00,1.00,1,3,1
5072,6.00,6.00,34.00,3.00,0.28,0.24,1.00,3.00,1.00,1,3,1
5073,4.00,7.00,35.00,3.90,-0.18,0.29,2.00,3.00,0.00,1,3,1
5074,7.00,5.00,38.00,2.70,0.47,-0.10,1.00,3.00,1.00,0,4,1
5075,5.00,5.00,42.00,3.00,-0.05,-0.09,2.00,4.00,0.00,1,4,1
5076,7.00,7.00,34.00,3.50,0.55,0.49,1.00,3.00,0.00,1,3,1
5077,6.00,8.00,40.00,3.30,0.18,0.84,2.00,4.00,1.00,1,3,1
5078,5.00,9.00,41.00,3.90,-0.15,0.85,1.00,4.00,1.00,1,6,1
5079,5.00,4.00,28.00,3.30,-0.08,-0.31,1.00,2.00,0.00,0,5,1
5080,6.00,6.00,34.50,3.60,0.25,0.18,1.00,3.00,0.00,1,4,1
5081,3.00,4.00,35.00,3.90,-0.55,-0.51,1.00,4.00,1.00,1,4,1
5082,2.00,2.00,29.50,3.00,-0.81,-0.99,1.00,3.00,0.00,1,4,1
5083,1.00,2.00,38.00,3.20,-1.85,-1.29,1.00,3.00,1.00,1,3,1
5084,4.00,5.00,33.50,2.50,-0.20,-0.10,1.00,4.00,1.00,1,3,1
5085,8.00,8.00,43.00,2.60,0.58,0.82,1.00,3.00,1.00,1,3,1
5086,7.00,5.00,34.00,3.80,0.44,0.00,1.00,4.00,0.00,1,4,1
5087,10.00,9.00,35.00,3.30,1.52,1.24,1.00,4.00,0.00,1,3,1
5088,6.00,7.00,36.00,3.40,0.05,0.33,1.00,4.00,0.00,1,5,1
5089,7.00,6.00,36.00,3.40,0.36,0.21,1.00,3.00,0.00,1,3,1
5090,4.00,3.00,31.00,3.30,-0.40,-0.69,1.00,4.00,0.00,1,3,1
5091,10.00,10.00,27.00,3.30,1.81,1.84,1.00,4.00,1.00,1,3,1
5092,1.00,1.00,38.00,2.50,-1.69,-2.08,1.00,1.00,1.00,1,5,0
5093,9.00,7.00,40.00,2.40,1.16,0.45,1.00,4.00,0.00,1,5,0
5094,7.00,6.00,34.00,3.30,0.55,0.21,1.00,3.00,1.00,1,4,1
5095,1.00,1.00,39.00,2.90,-1.75,-2.01,1.00,5.00,0.00,1,3,1
5096,9.00,8.00,39.00,2.90,0.93,0.87,2.00,4.00,1.00,1,4,1
5097,6.00,7.00,34.00,3.00,0.15,0.43,1.00,2.00,0.00,1,3,1
5098,4.00,1.00,36.00,3.40,-0.21,-1.34,1.00,4.00,0.00,1,6,0
5099,10.00,10.00,47.00,3.90,1.61,1.62,1.00,3.00,0.00,1,5,1
5100,3.00,6.00,46.00,3.70,-0.63,0.17,1.00,3.00,1.00,1,5,1
5101,6.00,7.00,41.00,3.30,0.26,0.39,1.00,4.00,1.00,1,3,1
5102,5.00,8.00,39.00,3.90,-0.11,0.69,1.00,4.00,0.00,1,4,1
5103,8.00,8.00,37.00,3.20,0.58,0.83,1.00,3.00,1.00,1,3,1
5104,10.00,10.00,37.00,3.50,1.71,1.80,1.00,2.00,0.00,1,2,1
5105,8.00,6.00,38.00,3.00,0.70,0.05,1.00,4.00,1.00,1,3,1
5106,2.00,1.00,35.00,3.30,-0.94,-1.69,1.00,4.00,1.00,1,4,1
5107,8.00,9.00,38.00,3.50,0.72,1.05,1.00,4.00,1.00,1,4,1
5108,3.00,3.00,35.00,3.20,-0.67,-0.62,1.00,3.00,1.00,1,5,1
5109,6.00,7.00,40.00,3.30,0.16,0.36,1.00,5.00,1.00,1,4,1
5110,3.00,3.00,41.00,3.40,-0.48,-0.77,1.00,2.00,1.00,1,2,1
5111,5.00,6.00,34.00,3.10,-0.12,0.11,1.00,4.00,0.00,1,4,1
5112,1.00,2.00,47.00,3.20,-1.38,-1.21,1.00,4.00,1.00,1,4,1
5113,4.00,6.00,42.00,3.70,-0.43,0.13,1.00,3.00,0.00,1,6,1
5114,5.00,7.00,40.00,3.30,-0.05,0.43,1.00,4.00,1.00,1,4,1
